year;country;region;gini;inflation;unemployment;gdp;gdpgrowth;gdppercap;imports;exports;netexp;netexppergdp;fdi;fdipergdp;incometax;tradetax;population;education
2020;Belgium;Europe;27,18;0,740791812;5,55;5,25213E+11;-5,36258592;45517,90382;4,62565E+11;4,76801E+11;14236496012;2,710613445;5463126502;1,040173378;32,3082214;6,688543741;11538604;12,1
2020;Belize;Latin America and the Caribbean;36,99777778;0,121434645;10,788;2080000000;-13,40295909;5266,87616;968044413,1;722213182,6;-245831230,4;-11,81880916;-71774621,67;-3,450702965;24,97268907;6,688543741;394921;8,85
2020;Benin;Africa;42,8;3,022721197;1,671;15651545209;3,8487924;1237,949295;4275566574;3718479448;-557087125,8;-3,559310715;-152493263,3;-0,974301651;24,97268907;6,688543741;12643123;9,906831683
2020;Bhutan;Asia;37,4;5,629365226;5,03;2325185521;-10,00969933;3009,925516;1366515397;816188649,8;-550326747,6;-23,66807907;2786960,89;0,119859722;19,94462064;2,873236724;772506;4,06
2020;Bolivia;Asia;44,05;0,940742153;7,9;36629843806;-8,737884358;3068,812555;8610339831;7558521700;-1051818131;-2,871478614;1018358417;2,780133113;24,97268907;6,688543741;11936162;9,54
2020;Bosnia and Herzegovina;Europe;36,99777778;-1,051296008;15,265;20226030731;-3,015095148;6095,102479;10352340384;7449106667;-2903233717;-14,35394693;-360431407,3;-1,7820175;8,123374211;0,043726359;3318407;9,83
2020;Botswana;Africa;53,3;1,890359168;21,02;14960291541;-8,729451498;5875,070606;7520614878;4936864334;-2583750544;-17,27072321;-100063981,6;-0,668863848;27,2055615;33,36072194;2546402;9,906831683
2020;Brazil;Latin America and the Caribbean;52,47;3,211768038;13,93;1,47611E+12;-3,276758796;6923,700197;2,8887E+11;2,58319E+11;-30551426815;-2,069729415;-41253539809;-2,794752118;26,91730918;2,337194645;213196304;7,77
2020;Brunei Darussalam;Asia;36,99777778;1,940319966;7,41;12005795915;1,13357335;27179,34442;6942017239;7805639830;863622591,9;7,193380581;-565542275,4;-4,71057712;24,97268907;6,688543741;441725;9,906831683
2020;Bulgaria;Europe;40,28;1,672440969;5,12;70404359049;-3,958614598;10153,4766;42653150000;41493260000;-1159890000;-1,647469014;-3158280000;-4,485915422;16,86987192;0,026553839;6934015;11,3
2020;Burkina Faso;Africa;47,3;1,884439938;5,055;17933606213;1,93032489;833,2443361;5582825548;5603943480;21117931,2;0,117756189;91638973,26;0,510990217;23,19837053;9,389898801;21522626;1,92
2020;Cabo Verde;Africa;42,4;0,605795808;14,878;1878277311;-19,30282275;3223,735602;1071319117;448580932,5;-622738184,6;-33,15475201;-63699199,35;-3,391362871;24,97268907;6,688543741;582640;5,86
2020;Cambodia;Asia;36,99777778;2,940295143;0,298;25872797892;-3,096006731;1577,91174;24809156840;20899237988;-3909918851;-15,11208362;-3497632099;-13,51856925;24,96185163;9,493124476;16396860;3,67
2020;Cameroon;Africa;36,99777778;2,437608822;3,947;40773241212;0,259932916;1539,130547;8213353588;6286863325;-1926490264;-4,724888693;-590771938;-1,448920715;24,4340079;11,18812507;26491087;9,906831683
2020;Canada;Northern America;33,05;0,716999632;9,46;1,6476E+12;-5,074357568;43349,67786;6,1714E+11;5,86374E+11;-30766358512;-1,867345736;15817289789;0,960020947;56,46238923;0,946757009;38007166;13,7
2020;Chile;Latin America and the Caribbean;44,57;3,045490848;11,14;2,54096E+11;-6,145246857;13165,38634;88894064653;84473720756;-4420343898;-1,739634664;-5049109795;-1,987086667;28,61071641;0,668175319;19300315;10,4
2020;China;Europe;38,58;2,419421895;5;1,46877E+13;2,238638356;10408,71912;2,74402E+12;2,9844E+12;2,4038E+11;1,636603875;-99374807720;-0,676583216;21,15158295;1,833674333;1411100000;9,906831683
2020;Colombia;Africa;51,08;2,526635001;15,04;2,70151E+11;-7,252299075;5304,289129;60806113804;42671977938;-18134135866;-6,712593611;-5772492848;-2,13676565;21,50597111;1,066178323;50930662;8,46
2020;Congo, Dem. Rep.;Africa;36,99777778;8,340346517;5,127;48716961865;1,735422764;524,6666863;16017361730;14125330145;-1892031585;-3,88372245;-1498084808;-3,075078475;24,97268907;6,688543741;92853164;6,76
2020;Congo, Rep.;Africa;36,99777778;1,795371471;22,517;10483151094;-6,239319632;1838,448124;3368240341;4696801136;1328560795;12,67329626;1001980582;9,558009547;24,97268907;6,688543741;5702174;9,906831683
2020;Costa Rica;Africa;48,47;0,724911478;16,43;62395610764;-4,273354322;12179,25667;21501437779;20343957890;-1157479889;-1,855066205;-1644265639;-2,635226452;16,39968136;4,096239991;5123105;8,67
